iter	Passed	Remaining
0	1	1348
1	2	1088
2	2	965
3	3	881
4	4	830
5	4	752
6	4	703
7	5	702
8	6	705
9	7	702
10	7	693
11	8	678
12	8	668
13	9	656
14	9	648
15	10	644
16	11	636
17	11	628
18	12	621
19	12	610
20	13	607
21	13	604
22	14	601
23	14	596
24	15	591
25	15	586
26	15	574
27	16	570
28	16	567
29	17	565
30	18	564
31	18	561
32	19	558
33	19	553
34	19	551
35	20	548
36	20	544
37	21	543
38	21	540
39	22	539
40	23	538
41	23	537
42	24	536
43	24	535
44	25	531
45	25	530
46	26	527
47	26	526
48	27	525
49	27	522
50	27	516
51	28	515
52	28	515
53	29	510
54	29	509
55	30	509
56	30	508
57	31	507
58	31	507
59	32	506
60	32	505
61	33	504
62	33	504
63	34	503
64	35	504
65	35	504
66	36	503
67	36	502
68	37	501
69	37	500
70	38	499
71	38	498
72	39	496
73	39	496
74	40	495
75	40	492
76	41	491
77	41	491
78	42	490
79	42	489
80	43	489
81	43	488
82	44	486
83	44	486
84	45	485
85	45	485
86	46	484
87	46	483
88	47	482
89	47	482
90	48	481
91	48	480
92	49	480
93	49	479
94	50	479
95	50	477
96	51	475
97	51	475
98	52	474
99	52	474
100	53	473
101	53	472
102	54	472
103	54	471
104	55	470
105	55	470
106	56	469
107	56	468
108	57	468
109	57	468
110	58	467
111	58	466
112	59	466
113	59	465
114	60	464
115	60	464
116	61	463
117	61	463
118	62	462
119	63	462
120	63	460
121	63	460
122	64	459
123	65	459
124	65	457
125	65	457
126	66	456
127	66	456
128	67	455
129	68	455
130	68	454
131	69	453
132	69	453
133	70	452
134	70	452
135	71	451
136	71	451
137	72	450
138	72	450
139	73	449
140	73	449
141	74	448
142	74	448
143	75	447
144	75	447
145	76	446
146	76	446
147	77	445
148	77	444
149	78	444
150	78	444
151	79	443
152	79	442
153	80	441
154	80	440
155	81	440
156	81	439
157	82	438
158	82	437
159	83	436
160	83	436
161	84	436
162	84	435
163	85	434
164	85	434
165	86	432
166	86	432
167	87	431
168	87	431
169	88	430
170	88	430
171	89	429
172	89	429
173	90	428
174	90	428
175	91	427
176	91	427
177	92	426
178	92	426
179	93	426
180	94	425
181	94	425
182	95	424
183	95	423
184	96	423
185	96	422
186	96	421
187	97	420
188	97	420
189	98	419
190	98	419
191	99	418
192	99	417
193	100	416
194	100	416
195	101	416
196	101	415
197	102	414
198	102	414
199	103	413
200	104	413
201	104	412
202	104	411
203	105	411
204	105	411
205	106	410
206	106	409
207	107	409
208	107	408
209	108	408
210	109	407
211	109	407
212	110	406
213	110	406
214	111	405
215	111	405
216	112	404
217	112	404
218	113	403
219	113	403
220	114	403
221	114	402
222	115	402
223	115	400
224	116	400
225	116	399
226	117	398
227	117	398
228	118	397
229	118	397
230	119	396
231	119	395
232	120	395
233	120	394
234	121	394
235	121	393
236	122	393
237	122	392
238	123	392
239	123	391
240	124	391
241	124	390
242	125	390
243	125	389
244	126	389
